tradingClass,symbol,exchange,ex_symbol,data_symbol,hold_cycle,priced_cycle,roll_offset,expiry_offset,carry_offset,open,close,session,description
KC,KC,NYBOT,KC,KCA,HKNUZ,HKNUZ,-50,19,-1,10:15,18:30,18,Coffee C
SB,SB,NYBOT,SB,SBA,HKNV,HKNV,-60,-2,-1,09:30,18:00,18,Sugar No.11
CC,CC,NYBOT,CC,CCA,HKNUZ,HKNUZ,-50,13,-1,10:45,18:30,18,Cocoa Nybot
FBTP,BTP,EUREX,FBTP,FBTP,HMUZ,HMUZ,-5,6,1,08:00,18:00,18,Euro-BTP Italian Government Bond
C,C,ICEEUSOFT,C,QC,HKNUZ,HKNUZ,-50,13,-1,10:30,16:55,17,Cocoa
RC,D,ICEEUSOFT,RC,LRC,FHKNUX,FHKNUX,-50,24,-1,10:00,17:30,17,Robusta Coffee
W,W,ICEEUSOFT,W,QW,HKQVZ,HKQVZ,-60,-2,-1,09:45,18:00,18,White Sugar
ECF,ECF,ENDEX,ECF,UX,Z,HMUZ,-270,14,-1,08:00,17:00,17,Emissions
06,KOSDQ150,KSE,06,KQI,HMUZ,HMUZ,-1,13,1,00:45,06:45,6,kosdaq 150 index
167,FLKTB,KSE,167,K10B,HMUZ,HMUZ,-1,18,1,01:00,06:45,6,10 year korea
05,K200M,KSE,05,KOS,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-1,13,1,00:45,06:45,6,Kospi - mini
TF,TSR20,SGX,TF,ZFT,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-30,-1,1,00:55,10:00,6,SICOM Rubber
,BZ,NYMEX,BZ,QOA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-40,-32,-1,,,,Brent Crude NYMEX
,COIL,IPE,COIL,QOA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-40,14,-1,,,,Brent Crude ICE
,ATW,IPE,ATW,QMA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-45,24,-1,,,,Rotterdam Coal
,GOIL,IPE,GOIL,QPA,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-60,12,-1,,,,Gasoil
,NGF,IPE,NGF,QU,HMUZ,HMUZ,-60,-4,-1,,,,UK Nat Gas
,ECO,MATIF,ECO,PM,GKQX,GKQX,-60,27,-1,,,,Rapeseed
,EBM,MATIF,EMB,PV,HKUZ,HKUZ,-60,9,-1,,,,Milling Wheat
,EMA,MATIF,EMA,PZ,HMQX,HMQX,-35,6,-1,,,,Corn Euro
,HRC,COMEX,HRC,HRC,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-90,15,-1,,,,Hot Rolled Coil Steel
,UB,CBOT,UB,ULAA,HMUZ,HMUZ,-25,19,1,,,,Ultra T Bond
,TN,CBOT,TN,TNA,HMUZ,HMUZ,-25,19,1,,,,Ultra 10 Year Note
,JGB,OSE|JPN,JBL,JGB,HMUZ,HMUZ,-20,15,1,,,,Japanese 10 Year
,MJ,OSE|JPN,JBLM,JGB,HMUZ,HMUZ,-20,15,1,,,,Japanese 10 Year Mini
,SGB,SGX,JB,JGB,HMUZ,HMUZ,-20,15,1,,,,Japanese 10 Year SGX Mini Index
,XT,SNFE,XT,HXS,HMUZ,HMUZ,-5,15,1,,,,Australian 10 Year
,SONIA.N,ICEEU,SO3,SO3,HMUZ,HMUZ,-1000,9,-1,,,,Sonia 3 Month
,I,ICEEU,I,QEA,HMUZ,HMUZ,-700,15,-1,,,,Euribor 3 Month ICE
,EU3,EUREX,FEU3,QEA,HMUZ,HMUZ,-700,15,-1,,,,Euribor 3 Month EUREX
,RP,CME,RP,EB,HMUZ,HMUZ,-5,15,1,,,,EURGBP
,DX,NYBOT,DX,DXA,HMUZ,HMUZ,-30,13,1,,,,Dollar Index
